Year,Month,Inflation_Factor
2000,Jan,0.645304341
2001,Jan,0.669388566
2002,Jan,0.677034353
2003,Jan,0.69461966
2004,Jan,0.707999786
2005,Jan,0.729025697
2006,Jan,0.758079684
2007,Jan,0.773814712
2008,Jan,0.806936257
2009,Jan,0.807177099
2010,Jan,0.828371218
2011,Jan,0.841888968
2012,Jan,0.866516045
2013,Jan,0.880335803
2014,Jan,0.894235842
2015,Jan,0.893436857
2016,Jan,0.905704521
2017,Jan,0.928347516
2018,Jan,0.947569022
2019,Jan,0.962268046
2020,Jan,0.986195533
2021,Jan,1
2000,Feb,0.64559301
2001,Feb,0.668405484
2002,Feb,0.676009642
2003,Feb,0.696160661
2004,Feb,0.707947105
2005,Feb,0.729238748
2006,Feb,0.755473093
2007,Feb,0.77371927
2008,Feb,0.804873505
2009,Feb,0.806774544
2010,Feb,0.8240664
2011,Feb,0.841434296
2012,Feb,0.865592706
2013,Feb,0.882713468
2014,Feb,0.892655904
2015,Feb,0.892431582
2016,Feb,0.901514748
2017,Feb,0.926197845
2018,Feb,0.946683447
2019,Feb,0.961074315
2020,Feb,0.983514186
2021,Feb,1
2000,Mar,0.646337734
2001,Mar,0.66521442
2002,Mar,0.675030297
2003,Mar,0.695417118
2004,Mar,0.707498197
2005,Mar,0.729772687
2006,Mar,0.754312379
2007,Mar,0.775273051
2008,Mar,0.806140208
2009,Mar,0.803048207
2010,Mar,0.821630417
2011,Mar,0.843663285
2012,Mar,0.866032158
2013,Mar,0.878796574
2014,Mar,0.892085761
2015,Mar,0.891428852
2016,Mar,0.899028606
2017,Mar,0.920430992
2018,Mar,0.942150508
2019,Mar,0.959698275
2020,Mar,0.97447117
2021,Mar,1
2000,Apr,0.641443304
2001,Apr,0.662412845
2002,Apr,0.673272072
2003,Apr,0.688250316
2004,Apr,0.703977473
2005,Apr,0.728691575
2006,Apr,0.754529047
2007,Apr,0.77394834
2008,Apr,0.804417833
2009,Apr,0.798490193
2010,Apr,0.816348005
2011,Apr,0.842174242
2012,Apr,0.861567323
2013,Apr,0.87072652
2014,Apr,0.887730571
2015,Apr,0.885959394
2016,Apr,0.895927415
2017,Apr,0.91563504
2018,Apr,0.938184787
2019,Apr,0.956915081
2020,Apr,0.960064257
2021,Apr,1
2000,May,0.637084641
2001,May,0.660116273
2002,May,0.667917309
2003,May,0.681661992
2004,May,0.702464756
2005,May,0.722153086
2006,May,0.752242798
2007,May,0.77248463
2008,May,0.804740058
2009,May,0.794427831
2010,May,0.810483107
2011,May,0.839406378
2012,May,0.853711993
2013,May,0.865339252
2014,May,0.883745983
2015,May,0.883393079
2016,May,0.892397704
2017,May,0.90912907
2018,May,0.934593882
2019,May,0.951325247
2020,May,0.952447111
2021,May,1
2000,Jun,0.634532713
2001,Jun,0.655143984
2002,Jun,0.662137094
2003,Jun,0.676123314
2004,Jun,0.698206819
2005,Jun,0.715873623
2006,Jun,0.746790531
2007,Jun,0.766857076
2008,Jun,0.805367028
2009,Jun,0.793876244
2010,Jun,0.802238531
2011,Jun,0.830788823
2012,Jun,0.844613097
2013,Jun,0.859431129
2014,Jun,0.877241476
2015,Jun,0.878327248
2016,Jun,0.887087038
2017,Jun,0.901577498
2018,Jun,0.927466728
2019,Jun,0.942755874
2020,Jun,0.94884356
2021,Jun,1
2000,Jul,0.632960077
2001,Jul,0.650176005
2002,Jul,0.65969971
2003,Jul,0.673618971
2004,Jul,0.69376527
2005,Jul,0.71574305
2006,Jul,0.745413054
2007,Jul,0.762991615
2008,Jul,0.805720084
2009,Jul,0.788822833
2010,Jul,0.798566316
2011,Jul,0.82754402
2012,Jul,0.839199569
2013,Jul,0.855653601
2014,Jul,0.872701033
2015,Jul,0.87418087
2016,Jul,0.88141156
2017,Jul,0.896642161
2018,Jul,0.923088757
2019,Jul,0.939810185
2020,Jul,0.949077483
2021,Jul,1
2000,Aug,0.631655134
2001,Aug,0.648835569
2002,Aug,0.660532886
2003,Aug,0.674788991
2004,Aug,0.692700508
2005,Aug,0.717922849
2006,Aug,0.745338436
2007,Aug,0.760022225
2008,Aug,0.800849518
2009,Aug,0.788962119
2010,Aug,0.798020229
2011,Aug,0.828115233
2012,Aug,0.842130081
2013,Aug,0.854916711
2014,Aug,0.869446973
2015,Aug,0.871143084
2016,Aug,0.880402241
2017,Aug,0.897473014
2018,Aug,0.921697427
2019,Aug,0.937825103
2020,Aug,0.950107286
2021,Aug,1
