GeoFIPS,GeoName,Region,LineCode,Description,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
" ""00000""",United States, ,10,Personal income (millions of dollars),Millions of dollars,8654561,9009842,9157682,9491393,10037313,10599603,11374142,12014107,12475898,12073407,12586509,13330436,14003346,14189228,14969527,15681233,16092713,16845028,17681159,18402004,19607447
" ""00000""",United States, ,11, Nonfarm personal income 1/,Millions of dollars,8603301,8956153,9115873,9433874,9963010,10529231,11320359,11948467,12407997,12017304,12520077,13238101,13912005,14065574,14867407,15592764,16023802,16770381,17618281,18335714,19502393
" ""00000""",United States, ,12, Farm income 2/,Millions of dollars,51260,53689,41809,57519,74303,70372,53783,65640,67901,56103,66432,92335,91341,123654,102120,88469,68911,74647,62878,66290,105054
" ""00000""",United States, ,20,Population (persons) 3/,Number of persons,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123
" ""00000""",United States, ,30,Per capita personal income (dollars) 4/,Dollars,30672,31617,31839,32717,34280,35868,38120,39883,41026,39356,40690,42783,44614,44894,47017,48891,49812,51811,54098,56047,59510
" ""00000""",United States, ,35, Earnings by place of work,Millions of dollars,6598743,6865291,7001002,7243377,7674785,8039238,8519349,8866152,9014034,8688852,9023830,9444365,9902321,10232098,10688401,11115543,11384770,11926173,12515233,13024685,13202475
" ""00000""",United States, ,36, Less: Contributions for government social insurance 5/,Millions of dollars,704849,732117,750339,777956,827824,871945,921128,960003,986875,962827,982045,915062,948953,1102460,1151698,1202909,1237020,1296965,1358033,1418846,1456843
" ""00000""",United States, ,37,  Employee and self-employed contributions for government social insurance,Millions of dollars,360123,374669,384873,396099,419781,444590,474527,499026,516191,505515,513895,423231,436562,577062,606203,634466,656982,692924,734505,770529,794461
" ""00000""",United States, ,38,  Employer contributions for government social insurance,Millions of dollars,344726,357448,365466,381857,408043,427355,446601,460977,470684,457312,468150,491831,512391,525398,545495,568443,580038,604041,623528,648317,662382
" ""00000""",United States, ,42, Plus: Adjustment for residence 6/,Millions of dollars,2587,2692,2657,2679,2659,2614,2617,2596,2649,3019,3068,3201,3411,3651,3438,3403,3062,2980,3451,3553,3697
" ""00000""",United States, ,45, Equals: Net earnings by place of residence,Millions of dollars,5896481,6135866,6253320,6468100,6849620,7169907,7600838,7908745,8029808,7729044,8044853,8532504,8956779,9133289,9540141,9916037,10150812,10632188,11160651,11609392,11749329
" ""00000""",United States, ,46," Plus: Dividends, interest, and rent 7/",Millions of dollars,1670800,1681411,1619172,1676065,1766487,1912985,2159490,2377297,2491008,2197670,2216539,2439278,2683579,2631622,2887870,3079826,3164918,3356520,3544220,3653558,3617027
" ""00000""",United States, ,47, Plus: Personal current transfer receipts,Millions of dollars,1087280,1192565,1285190,1347228,1421206,1516711,1613814,1728065,1955082,2146693,2325117,2358654,2362988,2424317,2541516,2685370,2776983,2856320,2976288,3139054,4241091
" ""00000""",United States, ,50, Wages and salaries,Millions of dollars,4823765,4950126,4992622,5133728,5416803,5688398,6051357,6392832,6531099,6241491,6363368,6615753,6918166,7104786,7467705,7851802,8084567,8467880,8886749,9309720,9425703
" ""00000""",United States, ,60, Supplements to wages and salaries,Millions of dollars,1019616,1081914,1136091,1210736,1293698,1369719,1417923,1477079,1517532,1504178,1546444,1592949,1632251,1714292,1767120,1833313,1868319,1945066,2050068,2114352,2117601
" ""00000""",United States, ,61,  Employer contributions for employee pension and insurance funds 8/,Millions of dollars,674890,724466,770625,828879,885655,942364,971322,1016102,1046848,1046866,1078294,1101118,1119860,1188894,1221625,1264870,1288281,1341025,1426540,1466035,1455219
" ""00000""",United States, ,62,  Employer contributions for government social insurance,Millions of dollars,344726,357448,365466,381857,408043,427355,446601,460977,470684,457312,468150,491831,512391,525398,545495,568443,580038,604041,623528,648317,662382
" ""00000""",United States, ,70, Proprietors' income 9/,Millions of dollars,755362,833251,872289,898913,964284,981121,1050069,996241,965403,943183,1114018,1235663,1351904,1413020,1453576,1430428,1431884,1513227,1578416,1600613,1659171
" ""00000""",United States, ,71,  Farm proprietors' income,Millions of dollars,32996,34334,22462,38523,53778,49894,33500,42452,44676,32713,44296,71280,65474,97770,75680,63708,42673,46860,36928,40148,79315
" ""00000""",United States, ,72,  Nonfarm proprietors' income,Millions of dollars,722366,798917,849827,860390,910506,931227,1016569,953789,920727,910470,1069722,1164383,1286430,1315250,1377896,1366720,1389211,1466367,1541488,1560465,1579856
" ""00000""",United States, ,7010,Total employment,Number of jobs,165370800,165522200,165095100,165921500,168839700,172338400,175868600,179543700,179213900,173636700,172901700,176091700,178979700,182325100,186233800,190325800,193425900,196393100,200280200,201644200,190776800
" ""00000""",United States, ,7020, Wage and salary employment,Number of jobs,137610000,137334000,136301000,135967000,137404000,139341000,141660000,143170000,142584000,136242000,135393000,136918000,139619000,141932000,144722000,147641000,149960000,151948000,154361000,156534000,147236000
" ""00000""",United States, ,7040, Proprietors employment,Number of jobs,27760800,28188200,28794100,29954500,31435700,32997400,34208600,36373700,36629900,37394700,37508700,39173700,39360700,40393100,41511800,42684800,43465900,44445100,45919200,45110200,43540800
" ""01000""",Alabama,5,10,Personal income (millions of dollars),Millions of dollars,108215.4,111947.4,114904.5,120123.4,128828.7,136861.1,145692.3,152984.4,158450.6,155913.5,162531.1,168474.3,173361.7,175185.3,181078.8,189115.4,192363.5,199336.4,207053.6,215930.4,228748.8
" ""01000""",Alabama,5,11, Nonfarm personal income 1/,Millions of dollars,107263.6,110567.6,113928.6,118825.1,127035.7,135194.8,144691.1,152173.1,157607.9,155011.2,161767.4,168104.9,172684.5,173184,179711.3,187586.8,191546.1,198110.4,206084.1,215140.7,228091.8
" ""01000""",Alabama,5,12, Farm income 2/,Millions of dollars,951.7,1379.7,975.9,1298.3,1793,1666.4,1001.1,811.3,842.7,902.2,763.7,369.4,677.1,2001.2,1367.5,1528.7,817.3,1226,969.5,789.7,657
" ""01000""",Alabama,5,20,Population (persons) 3/,Number of persons,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532
" ""01000""",Alabama,5,30,Per capita personal income (dollars) 4/,Dollars,24306,25057,25648,26673,28434,29949,31474,32739,33583,32769,33963,35101,35992,36258,37384,38954,39525,40864,42328,43996,46479
" ""01000""",Alabama,5,35, Earnings by place of work,Millions of dollars,77978.5,80308.9,82645.8,85907.3,91564.1,96823.9,102220.9,105561.9,106217.6,104185.8,107052.8,109806.4,112662.5,115980.5,119108.5,122895.6,125189,130073.4,135796.1,140964.1,143908.7
" ""01000""",Alabama,5,36, Less: Contributions for government social insurance 5/,Millions of dollars,8886.3,9189.2,9484.4,9830.5,10331.8,10989.4,11667,12223.6,12606,12335.6,12709.9,11646.4,11885.1,13695.8,14069.5,14540.8,14817.4,15401,16262.2,16688.6,17611.6
" ""01000""",Alabama,5,37,  Employee and self-employed contributions for government social insurance,Millions of dollars,4612.8,4806.6,4991.8,5161,5458.2,5836.2,6309.9,6639.8,6860.5,6728.5,6808.2,5569.4,5721.5,7429.8,7698.3,7956,8207.7,8575.9,9143.4,9336.9,9878.1
" ""01000""",Alabama,5,38,  Employer contributions for government social insurance,Millions of dollars,4273.6,4382.5,4492.7,4669.5,4873.5,5153.2,5357.1,5583.8,5745.5,5607.1,5901.7,6077,6163.6,6266,6371.2,6584.8,6609.7,6825.2,7118.7,7351.7,7733.5
