,Film,Revenue,Year
0,Independence Day,817400891,1996
1,Twister,494471524,1996
2,Mission: Impossible,457731198,1996
3,The Rock,335062621,1996
4,The Hunchback of Notre Dame,325338851,1996
5,101 Dalmatians,320689294,1996
6,Ransom,309492681,1996
7,Jerry Maguire,273552592,1996
8,Space Jam,250200000,1996
9,Eraser,242295562,1996
10,The English Patient,231976425,1996
11,The Birdcage,185260553,1996
12,Scream,173046663,1996
13,Sleepers,165615285,1996
14,Daylight,159212469,1996
15,A Time to Kill,152266007,1996
16,Phenomenon,152036382,1996
17,Broken Arrow,150270147,1996
18,Star Trek: First Contact,150000000,1996
19,Romeo + Juliet,147298761,1996
20,Evita,141047179,1996
21,Jingle All the Way,129832389,1996
22,The Nutty Professor,128769345,1996
23,Executive Decision,121969216,1996
24,Michael,119718203,1996
25,The First Wives Club,116400000,1996
26,DragonHeart,115267375,1996
27,Striptease,113309743,1996
28,The Cable Guy,102825796,1996
29,Primal Fear,102616183,1996
30,Mars Attacks!,101371017,1996
31,Courage Under Fire,100860818,1996
32,One Fine Day,97529550,1996
33,The Long Kiss Goodnight,89456761,1996
34,Beavis and Butt-Head Do America,63118386,1996
35,Fargo,60611975,1996
36,Chain Reaction,60209334,1996
37,Jack,58620973,1996
38,The Quest,57400547,1996
39,Tin Cup,53854588,1996
40,Diabolique,52400000,1996
41,Maximum Risk,51702483,1996
42,The Island of Dr. Moreau,49627779,1996
43,The Preacher's Wife,48102795,1996
44,Last Man Standing,47267001,1996
45,Escape from L.A.,42277365,1996
46,Doctor Who,42000000,1996
47,Set It Off,41590886,1996
48,Happy Gilmore,41205099,1996
49,The Mirror Has Two Faces,41083864,1996
50,English Babu Desi Mem,39000000,1996
51,The Ghost and the Darkness,38619405,1996
52,Sgt. Bilko,37956793,1996
53,Shine,35892330,1996
54,A Thin Line Between Love and Hate,34746109,1996
55,That Thing You Do!,34585416,1996
56,Muppet Treasure Island,34327391,1996
57,Sling Blade,34100000,1996
58,Matilda,33459416,1996
59,Homeward Bound II: Lost in San Francisco,32709423,1996
60,Black Sheep,32000000,1996
61,Eddie,31387164,1996
62,The Frighteners,29359216,1996
63,James and the Giant Peach,28946127,1996
64,Spy Hard,27000000,1996
65,Eye for an Eye,26877589,1996
66,From Dusk Till Dawn,25836616,1996
67,In Love and War,25372294,1996
68,Fly Away Home,25143818,1996
69,Kingpin,25023434,1996
70,The Craft,24819936,1996
71,D3: The Mighty Ducks,22955097,1996
72,The Juror,22754725,1996
73,Bulletproof,22611954,1996
74,The Chamber,22540359,1996
75,Emma,22231658,1996
76,First Strike,21890845,1996
77,High School High,21302121,1996
78,Multiplicity,21075014,1996
79,The Glimmer Man,20350000,1996
80,The People vs. Larry Flynt,20300385,1996
81,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20109115,1996
82,Flipper,20080020,1996
83,Bed of Roses,19030691,1996
84,Kazaam,18937262,1996
85,The Fan,18626419,1996
86,The Crow: City of Angels,17917287,1996
87,Extreme Measures,17380126,1996
88,The Phantom,17300889,1996
89,Fled,17193231,1996
90,Michael Collins,16900000,1996
91,Hellraiser: Bloodline,16675000,1996
92,Trainspotting,16491080,1996
93,Flirting with Disaster,14702438,1996
94,The Arrival,14063331,1996
95,Gamera 2: Attack of the Legion,14000000,1996
96,Secrets & Lies,13417292,1996
97,Bio-Dome,13400000,1996
98,Ghosts of Mississippi,13323144,1996
99,Lone Star,13269963,1996
100,Titanic,2187463944,1997
101,The Lost World: Jurassic Park,618638999,1997
102,Men in Black,589390539,1997
103,Tomorrow Never Dies,333011068,1997
104,Air Force One,315156409,1997
105,As Good as It Gets,314178011,1997
106,Liar Liar,302710615,1997
107,My Best Friend's Wedding,299288605,1997
108,The Fifth Element,263920180,1997
109,The Full Monty,257850122,1997
110,Hercules,252712101,1997
111,Bean,251212670,1997
112,Face/Off,245676146,1997
113,Batman & Robin,238207122,1997
114,Life Is Beautiful,230098753,1997
115,Good Will Hunting,225933435,1997
116,Con Air,224012234,1997
117,Dante's Peak,178127760,1997
118,Flubber,177977226,1997
119,George of the Jungle,174463257,1997
120,Scream 2,172363301,1997
121,Contact,171120329,1997
122,Michael Jackson: HIStory World Tour - Live in Copenhagen,165000000,1997
123,Michael Jackson: HIStory Tour - Live in Munich,165000000,1997
124,Speed 2: Cruise Control,164508066,1997
125,Alien Resurrection,162000000,1997
126,Love's Deadly Triangle: The Texas Cadet Murder,161001698,1997
127,Princess Mononoke,159414369,1997
128,The Jackal,159330280,1997
129,The Devil's Advocate,152944660,1997
130,The Devil's Own,140807547,1997
131,Anastasia,139804348,1997
132,Conspiracy Theory,136982834,1997
133,Anaconda,136000000,1997
134,Seven Years in Tibet,131457682,1997
135,L.A. Confidential,126216940,1997
136,I Know What You Did Last Summer,125586134,1997
137,Donnie Brasco,124909762,1997
138,Volcano,122823468,1997
139,MouseHunt,122417389,1997
140,Starship Troopers,121214377,1997
141,The Saint,118063304,1997
142,The Peacemaker,110463140,1997
143,The Game,109423648,1997
144,Spice World,100000000,1997
145,Spawn,87840042,1997
146,Home Alone 3,79082515,1997
147,Mr. Magoo,75000000,1997
148,Austin Powers: International Man of Mystery,67683989,1997
149,Wag the Dog,64256513,1997
150,Kiss the Girls,60527873,1997
151,Selena,60000000,1997
152,Jungle 2 Jungle,59927618,1997
153,Mortal Kombat: Annihilation,51376861,1997
154,Breakdown,50159144,1997
155,Absolute Power,50068310,1997
156,G.I. Jane,48169156,1997
157,Double Team,48138337,1997
158,The Rainmaker,45916769,1997
159,Cop Land,44862187,1997
160,Nothing to Lose,44480039,1997
161,Picture Perfect,44332015,1997
162,Amistad,44229441,1997
163,The Edge,43312294,1997
164,Boogie Nights,43101594,1997
165,Fools Rush In,42000000,1997
166,Private Parts,41230799,1997
167,Jackie Brown,39673162,1997
168,Vegas Vacation,36400360,1997
169,Fathers' Day,35598376,1997
170,Addicted to Love,34673095,1997
171,The Relic,33956608,1997
172,Metro,31987563,1997
173,For Richer or Poorer,31611225,1997
174,Grosse Pointe Blank,31070412,1997
175,Would I Lie to You?,29456000,1997
176,Romy and Michele's High School Reunion,29235353,1997
177,Event Horizon,26673242,1997
178,An American Werewolf in Paris,26570463,1997
179,Murder at 1600,25804707,1997
180,Mimic,25480490,1997
181,Midnight in the Garden of Good and Evil,25105255,1997
182,Good Burger,23700000,1997
183,Air Bud,23144499,1997
184,Red Corner,22420000,1997
185,Booty Call,20060051,1997
186,Neon Genesis Evangelion: The End of Evangelion,20000000,1997
