,film,revenue,release_date
0,Independence Day,817400891,1996-06-25
1,Twister,494471524,1996-05-10
2,Mission: Impossible,457731198,1996-05-22
3,The Rock,335062621,1996-06-07
4,The Hunchback of Notre Dame,325338851,1996-06-21
5,101 Dalmatians,320689294,1996-11-27
6,Ransom,309492681,1996-11-08
7,Jerry Maguire,273552592,1996-12-13
8,Space Jam,250200000,1996-11-15
9,Eraser,242295562,1996-06-21
10,The English Patient,231976425,1996-11-05
11,The Birdcage,185260553,1996-03-08
12,Scream,173046663,1996-12-20
13,Sleepers,165615285,1996-10-18
14,Daylight,159212469,1996-12-06
15,A Time to Kill,152266007,1996-07-24
16,Phenomenon,152036382,1996-07-05
17,Broken Arrow,150270147,1996-02-09
18,Star Trek: First Contact,150000000,1996-11-22
19,Romeo + Juliet,147298761,1996-11-01
20,Evita,141047179,1996-12-14
21,Jingle All the Way,129832389,1996-11-21
22,The Nutty Professor,128769345,1996-06-26
23,Executive Decision,121969216,1996-03-15
24,Michael,119718203,1996-12-25
25,The First Wives Club,116400000,1996-09-20
26,DragonHeart,115267375,1996-05-31
27,Striptease,113309743,1996-06-28
28,The Cable Guy,102825796,1996-06-10
29,Primal Fear,102616183,1996-03-06
30,Mars Attacks!,101371017,1996-12-12
31,Courage Under Fire,100860818,1996-07-04
32,One Fine Day,97529550,1996-12-20
33,The Long Kiss Goodnight,89456761,1996-10-11
34,Beavis and Butt-Head Do America,63118386,1996-12-15
35,Fargo,60611975,1996-03-08
36,Chain Reaction,60209334,1996-08-02
37,Jack,58620973,1996-08-09
38,The Quest,57400547,1996-04-19
39,Tin Cup,53854588,1996-08-16
40,Diabolique,52400000,1996-03-22
41,Maximum Risk,51702483,1996-09-13
42,The Island of Dr. Moreau,49627779,1996-08-23
43,The Preacher's Wife,48102795,1996-12-13
44,Last Man Standing,47267001,1996-09-20
45,Escape from L.A.,42277365,1996-08-09
46,Doctor Who,42000000,1996-05-12
47,Set It Off,41590886,1996-11-06
48,Happy Gilmore,41205099,1996-02-16
49,The Mirror Has Two Faces,41083864,1996-11-15
50,English Babu Desi Mem,39000000,1996-01-26
51,The Ghost and the Darkness,38619405,1996-10-11
52,Sgt. Bilko,37956793,1996-03-29
53,Shine,35892330,1996-08-15
54,A Thin Line Between Love and Hate,34746109,1996-04-04
55,That Thing You Do!,34585416,1996-10-04
56,Muppet Treasure Island,34327391,1996-02-16
57,Sling Blade,34100000,1996-08-30
58,Matilda,33459416,1996-08-02
59,Homeward Bound II: Lost in San Francisco,32709423,1996-03-08
60,Black Sheep,32000000,1996-02-01
61,Eddie,31387164,1996-05-31
62,The Frighteners,29359216,1996-07-18
63,James and the Giant Peach,28946127,1996-04-12
64,Spy Hard,27000000,1996-05-24
65,Eye for an Eye,26877589,1996-01-12
66,From Dusk Till Dawn,25836616,1996-01-19
67,In Love and War,25372294,1996-12-18
68,Fly Away Home,25143818,1996-09-13
69,Kingpin,25023434,1996-07-04
70,The Craft,24819936,1996-05-03
71,D3: The Mighty Ducks,22955097,1996-10-04
72,The Juror,22754725,1996-02-02
73,Bulletproof,22611954,1996-09-06
74,The Chamber,22540359,1996-10-11
75,Emma,22231658,1996-08-02
76,First Strike,21890845,1996-02-10
77,High School High,21302121,1996-10-25
78,Multiplicity,21075014,1996-07-19
79,The Glimmer Man,20350000,1996-10-04
80,The People vs. Larry Flynt,20300385,1996-12-25
81,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,20109115,1996-01-12
82,Flipper,20080020,1996-05-17
83,Bed of Roses,19030691,1996-01-26
84,Kazaam,18937262,1996-07-17
85,The Fan,18626419,1996-08-15
86,The Crow: City of Angels,17917287,1996-08-29
87,Extreme Measures,17380126,1996-09-27
88,The Phantom,17300889,1996-06-06
89,Fled,17193231,1996-07-19
90,Michael Collins,16900000,1996-10-25
91,Hellraiser: Bloodline,16675000,1996-03-08
92,Trainspotting,16491080,1996-02-23
93,Flirting with Disaster,14702438,1996-03-22
94,The Arrival,14063331,1996-05-31
95,Gamera 2: Attack of the Legion,14000000,1996-07-12
96,Secrets & Lies,13417292,1996-05-24
97,Bio-Dome,13400000,1996-01-12
98,Ghosts of Mississippi,13323144,1996-12-20
99,Lone Star,13269963,1996-06-21
100,Titanic,2187463944,1997-11-18
101,The Lost World: Jurassic Park,618638999,1997-05-23
102,Men in Black,589390539,1997-07-02
103,Tomorrow Never Dies,333011068,1997-12-11
104,Air Force One,315156409,1997-07-25
105,As Good as It Gets,314178011,1997-12-19
106,Liar Liar,302710615,1997-03-21
107,My Best Friend's Wedding,299288605,1997-06-19
108,The Fifth Element,263920180,1997-05-02
109,The Full Monty,257850122,1997-08-13
110,Hercules,252712101,1997-06-20
111,Bean,251212670,1997-07-03
112,Face/Off,245676146,1997-06-27
113,Batman & Robin,238207122,1997-06-20
114,Life Is Beautiful,230098753,1997-12-20
115,Good Will Hunting,225933435,1997-12-05
116,Con Air,224012234,1997-06-05
117,Dante's Peak,178127760,1997-02-07
118,Flubber,177977226,1997-11-26
119,George of the Jungle,174463257,1997-07-15
120,Scream 2,172363301,1997-12-09
121,Contact,171120329,1997-07-11
122,Michael Jackson: HIStory World Tour - Live in Copenhagen,165000000,1997-10-05
